L,alpha,MSE
1,1,1.422945432
2,1,15876.26167
2,1,15876.26167
1,2,1.188938269
2,2,2.178770639
3,2,1.312367104
4,2,1.257553002
5,2,2.218516511
6,2,2.666440193
7,2,2.830909135
8,2,18.51346088
1,3,1.280856123
2,3,4.232996497
3,3,4.980708406
4,3,1.601157748
5,3,1.285357689
6,3,0.55486393
7,3,8.673294253
8,3,33.65640046
1,4,1.095430019
2,4,2.833354533
3,4,2.588074761
4,4,8.816482903
5,4,12.2756585
6,4,9.052536068
7,4,2.808578476
8,4,14.55099748
9,4,20.0739336
1,5,1.221075288
2,5,4.928604025
3,5,8.53505318
4,5,4.881439985
5,5,4.772554868
6,5,3.832654518
7,5,20.27398036
8,5,31.02874504
1,6,1.074086676
2,6,4.38932791
3,6,7.746978929
4,6,23.08032247
5,6,30.15897482
1,7,1.175966016
2,7,4.419902501
3,7,12.02828827
4,7,10.47631222
5,7,10.63132364
6,7,9.717316318
7,7,26.07546403
8,7,28.78016842
1,8,1.056348186
2,8,6.397324265
3,8,14.30521504
4,8,33.02924964
5,8,37.56373955
1,9,1.136869642
2,9,3.146727987
3,9,15.22693538
1,10,1.04625407
2,10,8.592183963
1,20,1.047554715
1,100,1.050587492
